DateTime,AQI
2024-02-03,196
2024-02-04,320
2024-02-05,168
2024-02-06,144
2024-02-07,178
2024-02-09,116
2024-02-10,344
2024-02-11,338
2024-02-12,345
2024-02-13,380
2024-02-14,360
2024-02-15,313
2024-02-16,306
2024-02-17,303
2024-02-18,264
2024-02-19,231
2024-02-20,311
2024-02-21,223
2024-02-22,98
2024-02-23,105
2024-02-24,171
2024-02-25,156
2024-02-26,139
2024-02-27,118
2024-02-28,113
2024-02-29,151
2024-03-01,170
2024-03-03,85
2024-03-04,70
2024-03-05,92
2024-03-06,116
2024-03-07,166
2024-03-08,103
2024-03-09,95
2024-03-10,222
2024-03-11,159
2024-03-12,166
2024-03-13,137
2024-03-14,167
2024-03-15,65
2024-03-16,141
2024-03-17,220
2024-03-18,243
2024-03-19,86
2024-03-20,108
2024-03-21,145
2024-03-22,145
2024-03-23,145
2024-03-24,144
2024-03-25,144
2024-03-26,144
2024-03-27,143
2024-03-28,143
2024-03-29,143
2024-03-30,143
2024-03-31,142
2024-04-01,142
2024-04-02,142
2024-04-03,141
2024-04-04,141
2024-04-05,141
2024-04-06,140
2024-04-07,140
2024-04-08,140
2024-04-09,140
2024-04-10,139
2024-04-11,139
2024-04-12,139
2024-04-13,138
2024-04-14,138
2024-04-15,138
2024-04-16,137
2024-04-18,137
2024-04-19,137
2024-04-20,136
2024-04-21,136
2024-04-22,136
2024-04-23,135
2024-04-24,135
2024-04-25,135
2024-04-26,134
2024-04-27,134
2024-04-28,134
2024-04-29,133
2024-04-30,133
2024-05-01,133
2024-05-02,133
2024-05-03,132
2024-05-04,132
2024-05-05,132
2024-05-06,131
2024-05-07,131
2024-05-08,131
2024-05-09,130
2024-05-10,130
2024-05-11,130
2024-05-12,130
2024-05-13,129
2024-05-14,129
2024-05-15,129
2024-05-16,128
2024-05-17,128
2024-05-18,128
2024-05-19,127
2024-05-20,127
2024-05-21,127
2024-05-22,127
2024-05-23,126
2024-05-24,126
2024-05-25,126
2024-05-26,125
2024-05-27,125
2024-05-28,125
2024-05-29,124
2024-05-30,124
2024-05-31,124
2024-06-01,124
2024-06-02,63
2024-06-03,8
2024-06-04,15
2024-06-05,23
2024-06-06,31
2024-06-07,39
2024-06-08,46
2024-06-09,54
2024-06-10,62
2024-06-11,69
2024-06-12,77
2024-06-16,116
2024-06-20,50
2024-06-21,28
2024-06-22,58
2024-06-23,20
2024-06-24,87
2024-06-25,104
2024-06-26,94
2024-06-27,86
2024-06-28,78
2024-06-29,69
2024-06-30,61
2024-07-01,56
2024-07-02,51
2024-07-03,47
2024-07-04,42
2024-07-05,37
2024-07-06,32
2024-07-07,27
2024-07-08,22
2024-07-09,17
2024-07-10,13
2024-07-11,3
2024-07-12,12
2024-07-13,20
2024-07-14,29
2024-07-15,37
2024-07-16,45
2024-07-17,54
2024-07-18,54
2024-07-19,54
2024-07-20,54
2024-07-21,54
2024-07-22,54
2024-07-23,54
2024-07-24,54
2024-07-25,54
2024-07-26,54
2024-07-27,54
2024-07-28,54
2024-07-29,54
2024-07-30,54
2024-07-31,54
2024-08-01,44
2024-08-02,34
2024-08-03,25
2024-08-04,18
2024-08-06,17
2024-08-07,17
2024-08-08,17
2024-08-09,16
2024-08-10,16
2024-08-11,15
2024-08-12,15
2024-08-13,15
2024-08-14,14
2024-08-15,14
2024-08-16,13
2024-08-17,13
2024-08-18,13
2024-08-19,12
2024-08-20,12
2024-08-21,12
2024-08-22,11
2024-08-23,11
2024-08-24,10
2024-08-25,15
2024-08-26,19
2024-08-27,23
2024-08-28,27
2024-08-29,32
2024-08-30,36
2024-08-31,40
2024-09-01,55
2024-09-02,43
2024-09-03,37
2024-09-04,28
2024-09-05,42
2024-09-06,29
2024-09-07,38
2024-09-08,0
2024-09-09,69
2024-09-10,63
2024-09-11,45
2024-09-12,16
2024-09-13,17
2024-09-14,36
2024-09-15,51
2024-09-16,65
2024-09-17,78
2024-09-18,50
2024-09-19,43
2024-09-20,44
2024-09-21,54
2024-09-22,104
2024-09-23,134
2024-09-24,170
2024-09-25,141
2024-09-26,89
2024-09-27,57
2024-09-28,25
2024-09-29,37
2024-09-30,67
2024-10-01,96
2024-10-02,99
2024-10-03,75
2024-10-04,12
2024-10-05,58
2024-10-06,65
2024-10-07,72
2024-10-08,100
2024-10-09,103
2024-10-10,72
2024-10-11,92
2024-10-12,27
2024-10-13,190
2024-10-14,199
2024-10-15,152
2024-10-16,209
2024-10-17,271
2024-10-18,225
2024-10-19,234
2024-10-20,301
2024-10-21,309
2024-10-22,313
2024-10-23,355
2024-10-24,310
2024-10-25,272
2024-10-26,310
2024-10-27,110
2024-10-28,287
2024-10-29,87
2024-10-30,307
2024-10-31,344
2024-11-01,345
2024-11-02,346
2024-11-03,329
2024-11-04,376
2024-11-05,303
2024-11-06,335
2024-11-07,328
2024-11-08,346
2024-11-09,334
2024-11-10,329
2024-11-11,33
2024-11-12,282
2024-11-15,395
2024-11-21,352
2024-11-23,369
2024-11-24,312
2024-11-26,255
2024-11-27,322
2024-11-28,338
2024-11-29,355
2024-11-30,403
2024-12-01,310
2024-12-02,312
2024-12-03,300
2024-12-04,178
2024-12-05,170
2024-12-06,217
2024-12-07,265
2024-12-08,322
2024-12-09,217
2024-12-10,265
2024-12-11,283
2024-12-12,337
2024-12-13,302
2024-12-14,236
2024-12-15,343
2024-12-16,372
2024-12-21,340
2024-12-24,356
2024-12-25,369
2024-12-26,332
2024-12-27,328
2024-12-28,193
2024-12-29,31
2024-12-30,122
2024-12-31,314
